model,optimization_method,best_cv_roc_auc,best_parameters
Logistic Regression,Grid Search,0.9959752321981423,"{'model__C': 1, 'model__class_weight': None, 'model__solver': 'liblinear'}"
Random Forest,Randomized Search,0.9900928792569659,"{'n_estimators': 400, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 10, 'class_weight': None}"
