model,accuracy,precision,recall,f1_score,roc_auc,true_negative,false_positive,false_negative,true_positive
Logistic Regression,0.9824561403508771,0.9861111111111112,0.9861111111111112,0.9861111111111112,0.9953703703703703,41,1,1,71
Decision Tree,0.9122807017543859,0.9558823529411765,0.9027777777777778,0.9285714285714286,0.9156746031746031,39,3,7,65
Random Forest,0.9473684210526315,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9937169312169313,39,3,3,69
